city,city_pop
Achille,608
Acworth,477
Adams,3508
Afton,2916
Akron,272134
Albany,151022
Albuquerque,641349
Alder,286
Aledo,13602
Alexandria,321490
Allenhurst,1533
Allentown,166081
Alpharetta,165556
Altair,106
Alton,1700
Altona,2148
Altonah,302
Alva,110
Amanda,4512
American Fork,42384
Amorita,83
Amsterdam,2208
Andrews,5354
Angwin,3661
Annapolis,92106
Apison,3730
Arcadia,1202
Arlington,207410
Armagh,922
Armonk,7987
Arnold,35439
Arvada,122111
Ash Flat,2856
Ashfield,1506
Ashford,759
Ashland,40470
Atglen,3066
Athena,1302
Atlantic,741
Auburn,23045
Aurora,389246
Avera,741
Avoca,2036
Azusa,59705
Bagley,878
Bailey,6629
Ballwin,92608
Barnard,63
Barneveld,1684
Barnstable,1850
Baroda,3104
Basye,863
Baton Rouge,378909
Battle Creek,1075
Bauxite,4074
Bay City,67858
Bay Minette,19090
Beacon,19880
Beasley,2457
Beaver Falls,28425
Beaverdam,349
Belfast,1766
Belgrade,18182
Belle Fourche,8007
Bellmore,34496
Belmond,3032
Belmont,7430
Benton,4870
Bessemer,71463
Bethel,12349
Bethel Springs,3876
Big Creek,467
Big Indian,397
Bigelow,399
Birmingham,493806
Blackville,4913
Blairsden-Graeagle,1725
Blairstown,467
Blooming Grove,1563
Bolivar,1770
Bolton,2290
Bonfield,1617
Bonita Springs,51427
Boonton,15269
Boulder,1939
Bowdoin,3224
Bowersville,338
Boyd,1690
Bradley,1523
Brainard,614
Brandon,79613
Brantley,2566
Brashear,805
Breesport,520
Bridgeport,504
Bridger,1446
Brinson,1461
Bristol,21125
Bristow,965
Bronx,1382480
Brookfield,41111
Brooklin,824
Brooklyn,2504700
Broomfield,92337
Browning,602
Brownville,1271
Bruce,4046
Brunson,1725
Bryant,1080
Buellton,5505
Burbank,3684
Burke,43102
Burlington,14871
Burns Flat,2142
Burrton,1689
Byesville,4984
Bynum,522
Cadiz,13422
Camden,6460
Campbell,493
Canton,192805
Cape Coral,156391
Cardwell,1120
Carlisle,4081
Carlotta,1139
Carroll,566
Cascade Locks,1288
Cass,365
Cassatt,4424
Catawba,1363
Cazenovia,1360
Cecilton,663
Cedar,3096
Center Point,255
Center Tuftonboro,1368
Centerview,2368
Central,350
Chatham,4015
Chattanooga,198659
Cherokee Village,4726
Chester,5848
Chester Heights,348
Christine,291
Churubusco,7692
Cisco,478
Claremont,35705
Clarinda,7297
Clarion,10127
Clarks Mills,606
Clarksville,151785
Clay Center,269
Claypool,3631
Clayton,1760
Clearwater,172247
Cleveland,34153
Clifton,167
Clinton,10085
Clune,168
Clutier,590
Cochranton,5507
Coffeeville,3451
Cokeburg,632
Coleharbor,307
Coleman,5908
Collegeville,1536
Collettsville,885
Colorado Springs,525713
Colton,761
Columbia,333497
Comfort,630
Comfrey,914
Conway,3807
Cord,376
Corona,233717
Corriganville,626
Corsica,1274
Cottekill,722
Coulee Dam,1439
Cowlesville,1166
Coyle,1493
Cranks,581
Creedmoor,12335
Creola,321
Cressona,1606
Cromona,502
Cross,4471
Cross Plains,1897
Crouse,2749
Crownpoint,5662
Curlew,223
Cuthbert,5726
Cuyahoga Falls,47772
Dadeville,8269
Dallas,1263321
Dalton,1628
Daly City,107941
Damascus,3085
Daniels,3994
Darien,5989
Dayton,479994
De Lancey,782
De Queen,11253
De Soto,5760
De Witt,5161
Deadwood,1979
Deane,230
Delhi,6581
Dell City,579
Deltona,88735
Denham Springs,71335
Des Moines,222785
Desdemona,407
Detroit,673342
Dexter,602
Diamond,2644
Dieterich,2092
Doe Hill,99
Dongola,2263
Downey,111772
Downsville,1228
Drakes Branch,1970
Dresden,169
Du Pont,419
Dublin,2158
Dubre,341
Dumont,565
Duncan,466
Dunlevy,427
Eagarville,91
Early,885
East Andover,190
East Canaan,647
East China,7339
East Rochester,8019
East Troy,9679
Easton,1442
Edinburg,6018
Edisto Island,2408
Edmond,116001
Egan,1261
Ehrhardt,1352
El Paso,749635
Elberta,372
Eldridge,1186
Elizabeth,124967
Elizabethtown,48194
Elk Rapids,2223
Elkhart,1195
Emmons,744
Emporium,4533
Enola,969
Esbon,242
Espanola,18408
Etlan,395
Eugene,191096
Eureka,6713
Fairhope,27829
Fairview,13835
Falconer,3833
Falls Church,116155
Falls City,2435
Falmouth,1126
Farmington,10717
Fayetteville,238602
Fenelton,2054
Ferney,52
Fiddletown,832
Fields Landing,276
Florence,19685
Ford,1051
Fordoche,1178
Fort Myers,224256
Fort Washakie,1645
Freedom,471
Freeport,7879
Fullerton,1749
Fulton,355
Gadsden,67082
Gaines,3764
Gainesville,26120
Gaithersburg,135332
Galatia,1943
Gardiner,260
Garfield,365
Garrattsville,165
Georgetown,18799
Gibsonville,12486
Girard,1100
Glade Spring,5657
Glen Rock,7565
Glendale,172817
Goodrich,6951
Goreville,3119
Granbury,47119
Grand Bay,15647
Grand Junction,1804
Grand Ridge,3699
Grandview,5875
Graniteville,970
Grant,5901
Grantham,2971
Grassflat,489
Great Mills,5927
Greenbush,776
Greendale,13973
Greenport,4299
Greenview,308
Greenville,22930
Greenwich,804
Greenwood,78968
Gregory,37
Grenada,589
Grenola,372
Gretna,55581
Grimesland,5903
Grover,5621
Hahira,10295
Haines City,33804
Halma,140
Halstad,771
Hampton,136895
Hancock,3766
Hannawa Falls,69
Harborcreek,2518
Harmony,4589
Harper,2395
Harrington Park,4664
Harrodsburg,76
Hartford,5732
Harwood,3289
Hatch,258
Haw River,6006
Hawley,4508
Hawthorne,93193
Haynes,222
Hazel,1480
Heart Butte,743
Hedley,513
Hedrick,1583
Heidelberg,4573
Heiskell,4729
Heislerville,526
Helm,123
Henderson,642
Hewitt,828
Higganum,5438
High Rolls Mountain Park,899
Highland,23727
Hills,899
Hinckley,7646
Hinesburg,4542
Holcomb,2691
Holliday,2317
Holloway,128
Holstein,331
Honokaa,4878
Hooper,1745
Hopewell,31970
Hopkins,13717
Houston,2906700
Hovland,272
Howells,1063
Howes Cave,1304
Hubbell,121
Hudson,17867
Humble,194500
Humboldt,1179
Huntington Beach,190249
Huntsville,190178
Hurley,811
Hurricane,21902
Huslia,277
Iliff,648
Independence,123373
Indian Wells,4677
Indianapolis,910148
Ironton,21635
Irvine,13061
Irvington,7322
Irwinton,1841
Isanti,12568
Iselin,18459
Issaquah,50489
Jackson,233060
Jaffrey,5457
Jay,5719
Jefferson,1666
Jelm,100
Jermyn,6508
Johns Island,20478
Joliet,128354
Jones,1089
Jordan Valley,641
Jordanville,824
Juliette,3343
June Lake,633
Kaktovik,239
Kansas City,545147
Karnack,2807
Karns City,1888
Keisterville,184
Keller,95035
Kenner,68211
Kensington,19054
Kent,60
Key West,32891
Kilgore,24536
Kings Bay,1293
Kingsford Heights,1423
Kingsport,87124
Kingsville,5451
Kirby,118
Kirk,207
Kirtland Afb,310
Kissee Mills,1201
Kittery Point,1780
Knowlesville,275
Knoxville,391389
La Grande,16955
Lagrange,635
Laguna Hills,45303
Lahoma,1078
Lake Jackson,28739
Lake Oswego,42817
Lakeland,237282
Lakeport,11256
Lakeview,4474
Lamberton,1507
Lamy,923
Lanark Village,217
Lane,861
Laramie,35371
Laredo,248858
Las Vegas,1417793
Lawn,213
Lawrence,76383
Lebanon,9521
Leetsdale,1140
Leo,5341
Leonard,4090
Lepanto,2470
Liberty Mills,136
Lima,86954
Linthicum Heights,9784
Lithopolis,460
Littleton,320420
Livonia,96942
Llano,247
Loami,1213
Lockhart,17081
Logan,324
Lohrville,695
Lolita,911
Lomax,725
Lonetree,49
Lonsdale,5211
Lorenzo,1571
Los Angeles,2383912
Louisiana,4593
Louisville,736284
Loving,1925
Lowell,1420
Lowville,8830
Loxahatchee,26551
Lubbock,254282
Luray,519
Luzerne,864
Madisonville,10150
Malad City,4154
Mallie,798
Manchester,11751
Manderson,1126
Manistique,6469
Manley,206
Manor,1472
Manquin,976
Mansfield,92985
Manville,241
Marathon,498
Margaretville,1988
Maria Stein,2274
Marienville,4172
Marietta,5648
Marion,370
Marshall,6063
Matawan,30770
Matthews,1019
May,1791
Mayersville,595
Maysville,14228
Mc Clellandtown,2379
Mc Cracken,320
Mc Intosh,295
Mc Nabb,532
Mc Veytown,4653
Meadville,2799
Medford,28506
Melbourne,139650
Melville,19803
Mendon,2078
Meredith,61
Meridian,84106
Mesa,478404
Metairie,137067
Methuen,47249
Miamisburg,36784
Michigan,454
Mifflin,1909
Milford,31394
Mill Creek,1334
Milner,4138
Milwaukee,817312
Mineral,9141
Minneapolis,1022298
Minnesota Lake,1087
Moab,9772
Mobile,270712
Monetta,1514
Monitor,584
Monmouth Beach,3279
Montandon,645
Montgomery,214703
Montrose,3487
Moores Hill,3289
Mooresville,69793
Moorhead,2870
Moravian Falls,3495
Moriarty,7268
Moriches,3285
Moro,2401
Morrisdale,3688
Morven,2801
Moscow,533
Moss Point,31702
Moulton,1132
Mound City,1631
Mounds,7163
Moundsville,16183
Mount Clemens,16305
Mount Hope,1312
Mount Morris,4895
Mount Perry,1831
Mount Saint Joseph,177
Mount Vernon,67100
Mountain Center,1661
Mountain City,13021
Mountain Park,540
Mulberry Grove,1810
Munith,2523
Murfreesboro,158701
Murrayville,1512
Muskegon,128715
Nanuet,23045
Napa,94014
Naples,276002
Nazareth,686
Nelson,732
New Boston,1504
New Ellenton,2206
New Franken,4306
New Goshen,205
New Holstein,5196
New Memphis,254
New Waverly,4993
New York City,1577385
Newark Valley,4354
Newberg,28278
Newhall,34882
Newport,3228
Newton,4603
Nicholson,3733
Nobleboro,1643
Noblesville,64438
Nokomis,3458
Noonan,248
Norfolk,242803
Norman,1383
Norman Park,5666
North Augusta,46944
North Brookfield,4680
North East,12478
North Haverhill,1966
North Judson,5791
North Las Vegas,214518
North Loup,509
North Prairie,2328
North Tonawanda,45100
North Washington,139
North Wilkesboro,21134
Northport,21902
Norwalk,105549
Norwich,1443
Notrees,23
O Brien,178
Oak Hill,277
Oakdale,9506
Oakford,530
Oakland,381459
Oaks,737
Oakton,17558
Oconto Falls,5548
Odessa,9512
Ogdensburg,2456
Oklahoma City,640470
Old Hickory,22191
Ollie,568
Olmsted,639
Omaha,518429
Oolitic,1228
Oran,53
Orange Park,98816
Orangeburg,5950
Orient,743
Oriskany Falls,1970
Orr,1680
Owensville,6703
Oxford,24840
Ozawkie,2661
Paauilo,1490
Paint Rock,653
Palermo,229
Palmdale,171170
Palmyra,9565
Paradise Valley,17047
Paris,297
Parker,84861
Parker Dam,126
Parkers Lake,1565
Parks,759
Parsonsfield,1892
Paulding,6284
Paxton,4845
Payson,1656
Pea Ridge,6434
Pearlington,1414
Pecos,12747
Pelham,3402
Pembroke,14783
Pembroke Township,2135
Pewee Valley,3263
Phelps,4431
Phenix City,59744
Phil Campbell,5778
Philadelphia,1526206
Phoenix,1312922
Pikesville,33917
Pittsburgh,687276
Plainfield,71485
Plantersville,1412
Pleasant Hill,12866
Plymouth,2376
Pointe Aux Pins,95
Pomona,9993
Port Charlotte,79008
Port Costa,198
Port Ewen,2471
Port Gibson,207
Port Richey,42619
Port Saint Lucie,181438
Portland,841711
Powell,25459
Powell Butte,2016
Prairie Creek,137
Prairie Hill,263
Premier,337
Preston,4720
Princeton,1426
Prosperity,8333
Providence,203571
Pueblo,151815
Purmela,258
Putnam,754
Quanah,3202
Queen Anne,777
Queenstown,3862
Ragland,4159
Randolph,1201
Ranier,136
Ratcliff,43
Ravenna,2202
Red Cliff,277
Red River,606
Redford,241
Remer,2097
Reno,276896
Republic,1038
Reynolds,733
Rhame,475
Richland,825
Ridge Spring,3164
Ridgeland,24645
Ringwood,928
River,571
Riverton,19408
Riverview,15623
Rochester,443
Rock Glen,143
Rock Springs,27971
Rock Tavern,2258
Rockwell,1574
Rockwood,3684
Rocky Mount,1847
Roland,2623
Roma,18128
Romulus,31515
Ronceverte,4575
Roosevelt,551
Roseland,463
Rosewood,133
Rossville,1807
Ruckersville,9815
Ruidoso,8874
Rule,932
Rumely,137
Ruth,450
Sachse,20328
Sacramento,757530
Saint Amant,10076
Saint Bonaventure,1453
Saint Francis,301
Saint James City,3776
Saint Louis,927396
Saint Paul,753116
Saint Petersburg,341043
San Angelo,103927
San Antonio,1595797
San Diego,1241364
San Jose,973849
Santa Monica,92043
Sardis,800
Sauk Rapids,16163
Saxon,795
Scarborough,18760
Schaefferstown,823
Schaumburg,92294
Scotia,302
Scotland,313
Scotts Mills,1252
Sea Island,298
Seattle,837792
Sebring,50835
Seneca,153
Shedd,917
Sheffield,2121
Shelter Island,1858
Shenandoah Junction,1925
Sherman,46563
Shields,77
Shippingport,198
Shrewsbury,35299
Sixes,217
Skytop,104
Slayden,70
Smackover,2501
Smith River,1930
Smithfield,631
Smiths Grove,6841
Smock,1946
Sontag,1196
South Hero,1654
South Londonderry,828
South Richmond Hill,47211
Southfield,75830
Spearsville,1758
Spencer,343
Spirit Lake,4161
Sprague,142
Spring,316665
Spring Church,972
Springfield,104396
Springfield Gardens,38912
Stanchfield,2607
Stayton,9587
Stephensport,344
Sterling City,1143
Steuben,1131
Stillwater,55345
Stirling,2307
Stittville,847
Stoneham,21437
Streator,20133
Sturgis,1923
Sula,218
Summerfield,14075
Sun City,54287
Sunflower,1686
Superior,2872
Surrency,1324
Sutherland,1789
Syracuse,628
Tallmansville,571
Tamaroa,2135
Tampa,717255
Tekoa,895
Texarkana,36438
Thida,111
Thomas,1675
Thompson,46
Thornville,9051
Thrall,1766
Tickfaw,8512
Timberville,4367
Tiptonville,5577
Titusville,54767
Tomahawk,9594
Tomales,337
Topeka,163415
Tower Hill,1532
Trenton,2211
Tryon,1165
Tulsa,413574
Tupper Lake,6120
Turner,192
Tuscarora,100
Tyaskin,470
Tyler,144160
Uledi,328
Umatilla,11432
Union,2443
Unionville,3805
University,4198
Utica,1102
Vacaville,99475
Valdosta,94325
Valentine,4005
Vancouver,299480
Vanderbilt,2303
Varnell,74
Veedersburg,4049
Vero Beach,105638
Vienna,7420
Vinton,128
Viola,1679
Wales,145
Walkertown,7369
Walnut Ridge,7155
Wappapello,2601
Warren,134056
Wartburg,7511
Washington,601723
Washington Court House,22305
Washoe Valley,4290
Watertown,5619
Wauchula,14742
Waukau,149
Waukesha,95015
Waupaca,15426
Waynesfield,2089
Webster City,9165
Weeping Water,1517
Wendel,104
West Bethel,47
West Chazy,4778
West Columbia,52126
West Decatur,1762
West Eaton,176
West Finley,724
West Frankfort,12626
West Green,782
West Harrison,11250
West Hartford,140
West Henrietta,10256
West Long Branch,8097
West Monroe,54185
West Palm Beach,459921
West Sayville,4056
Westerville,73
Westfir,597
Westhampton Beach,3255
Westport,564
Wetmore,765
Whaleyville,718
Wheaton,760
Whigham,3430
White Sulphur Springs,5216
Whittemore,912
Wichita,409656
Williams,1735
Williamsburg,710
Wilmette,27020
Wilmington,186140
Wilton,1190
Winfield,5512
Winger,516
Winnsboro,14267
Winslow,2786
Winter,1478
Winthrop,6025
Wittenberg,3223
Woods Cross,13983
Woodville,3395
Yellowstone National Park,369
Zaleski,341
Zavalla,2836
